epoch,head,grad_norm,strategy
0,0,0.6346630596299109,separate_heads
0,1,0.19083448875581852,separate_heads
0,2,0.18774102749542612,separate_heads
0,3,0.31757962838511944,separate_heads
0,4,0.2872162378801454,separate_heads
1,0,0.3735154774962275,separate_heads
1,1,0.06388305810131258,separate_heads
1,2,0.18370479916170857,separate_heads
1,3,0.07549725710783775,separate_heads
1,4,0.02437387781153859,separate_heads
2,0,0.48555802144785637,separate_heads
2,1,0.17210184107793447,separate_heads
2,2,0.5407724696769736,separate_heads
2,3,0.17204796929997937,separate_heads
2,4,0.021101911042936947,separate_heads
3,0,0.16311227806201956,separate_heads
3,1,0.3160159153902592,separate_heads
3,2,0.1999484817100293,separate_heads
3,3,0.099370650811384,separate_heads
3,4,0.011800386888883293,separate_heads
4,0,0.2665953432255087,separate_heads
4,1,0.21746374088291237,separate_heads
4,2,0.05599327890261681,separate_heads
4,3,0.23442137043753392,separate_heads
4,4,0.015941451094864008,separate_heads
5,0,0.18960142053216442,separate_heads
5,1,1.192127718521244,separate_heads
5,2,0.06026803996458385,separate_heads
5,3,0.25300993482685613,separate_heads
5,4,0.020032251197478996,separate_heads
6,0,0.09749873009442012,separate_heads
6,1,0.9291259727038098,separate_heads
6,2,0.1255506911771997,separate_heads
6,3,0.1964866101499793,separate_heads
6,4,0.025436195708764146,separate_heads
7,0,0.05737930066294959,separate_heads
7,1,0.44234368655307055,separate_heads
7,2,0.1474627909963263,separate_heads
7,3,0.1538453971467489,separate_heads
7,4,0.030971888449769572,separate_heads
8,0,0.037413316390134586,separate_heads
8,1,0.5101066926538729,separate_heads
8,2,0.10831041844977898,separate_heads
8,3,0.2434867065228923,separate_heads
8,4,0.0369320385374492,separate_heads
9,0,0.027252536015935133,separate_heads
9,1,0.4375653320914938,separate_heads
9,2,0.09199213529578606,separate_heads
9,3,0.24616865088918238,separate_heads
9,4,0.03374842677567672,separate_heads
10,0,0.014010731268374271,separate_heads
10,1,0.5692227674075394,separate_heads
10,2,0.12055693976566019,separate_heads
10,3,0.27656832175166013,separate_heads
10,4,0.06040646131521264,separate_heads
11,0,0.010903966463525138,separate_heads
11,1,0.833095468586527,separate_heads
11,2,0.07465262751090188,separate_heads
11,3,0.22290663929359317,separate_heads
11,4,0.05600977610308322,separate_heads
12,0,0.010724352546792246,separate_heads
12,1,0.5777352926033357,separate_heads
12,2,0.09643046362293367,separate_heads
12,3,0.2742187605617852,separate_heads
12,4,0.07762302722632597,separate_heads
13,0,0.009026201659288094,separate_heads
13,1,1.551727449177279,separate_heads
13,2,0.0643383436107321,separate_heads
13,3,0.25305270461254953,separate_heads
13,4,0.11675425409346663,separate_heads
14,0,0.005209255173906081,separate_heads
14,1,0.8376088941424457,separate_heads
14,2,0.04323624636677291,separate_heads
14,3,0.18315033057514932,separate_heads
14,4,0.13767956784894866,separate_heads
15,0,0.007689448384504074,separate_heads
15,1,0.5733557948833736,separate_heads
15,2,0.10196264058686538,separate_heads
15,3,0.1999550007648443,separate_heads
15,4,0.2982777322582917,separate_heads
16,0,0.007386061103557108,separate_heads
16,1,0.6960903739032368,separate_heads
16,2,0.08240153101278999,separate_heads
16,3,0.27189001760555487,separate_heads
16,4,0.22318600845578923,separate_heads
17,0,0.0064348973931245435,separate_heads
17,1,0.3266083255120903,separate_heads
